rating,display_name,brand_name,list_price
4.1,Bronzed & Poreless Poreless Pore Perfecting Bronzer,Too Faced,$30.00
3.5238,Bronze & Glow™ Matte Bronzer & Cheek Tint,Tarte,$32.00
4.5625,Terracotta 4 Seasons Tailor-Made Bronzing Powder,Guerlain,$76.00
4.875,The Bronzer Glow Bronzing Powder,Dolce & Gabbana,$51.00
4.3043,STAR BRONZER - Magic Bronzing Brush - Automatic Powder Brush for Face and Body,Lancôme,$35.00
4.2713,Illume Creme-To-Powder Bronzer Duo,Hourglass,$40.00
3.9263,Pro Finish Multi-Use Powder Foundation,MAKE UP FOR EVER,$36.00
4.3541,Skin Foundation Stick,Bobbi Brown,$44.00
4.25,bareMinerals Matte Foundation Broad Spectrum SPF 15,bareMinerals,$27.00
4.3846,Teint Idole Ultra 24H,Lancôme,$45.50
4.3936,Diorskin Forever Flawless Perfection Wear Makeup,Dior,$49.00
4.232,Amazonian Clay Airbrush Foundation,Tarte,$36.00
4.6064,Lingerie De Peau Invisible Skin Fusion Foundation SPF 20,Guerlain,$61.00
4.3687,'Hello Flawless!' SPF 15,Benefit Cosmetics,$34.00
4.6092,Double Wear Stay-in-Place Makeup,Estee Lauder,$37.00
4.335,Photo Finish Foundation Primer Light,Smashbox,$15.00 - $36.00
3.9567,One Step Correct,Stila,$36.00
3.6486,Ever-Matte Poreless Priming Perfector™,BECCA,$36.00
4.1287,Photo Finish Foundation Primer SPF 20 With Dermaxyl™ Complex,Smashbox,$10.00 - $42.00
3.9451,Foundation Primer - Oil Free,Laura Mercier,$19.50 - $33.00
4.4444,Wondervision Jumbo Photo Finish Foundation Primer,Smashbox,$49.00
4.0703,Skin Perfection Gel,Perfekt,$48.00
4.2082,Photo Finish Hydrating Foundation Primer,Smashbox,$10.00 - $42.00
4.3192,B6 Vitamin-Infused Complexion Prep Spray,Urban Decay,$15.00 - $33.00
4.1197,Photo Finish More Than Primer - Blemish Control,Smashbox,$42.00
4.3216,LA BASE PRO Perfecting Makeup Primer,Lancôme,$42.00
4.4886,Dandelion,Benefit Cosmetics,$28.00
4.6349,Matte Radiance Baked Powder Compact,Laura Mercier,$36.00
4.3024,Illuminator,NARS,$30.00
4.0996,Stay All Day® 10-In-One HD Illuminating Beauty Balm With Broad Spectrum SPF 30,Stila,$38.00
4.3573,Argan Illuminizer,Josie Maran,$28.00
4.274,Fusion Soft Lights,Smashbox,$30.00
4.5259,Shimmer Brick - Bronze,Bobbi Brown,$42.00
0,Contour Blush,NARS,$42.00
4.5714,Shimmer Brick - Rose,Bobbi Brown,$42.00
4.2207,MicroSmooth Baked Luminizer,SEPHORA COLLECTION,$14.00
4.2824,Candlelight Glow Highlighting Powder Duo,Too Faced,$30.00
4.375,Glow Maximizer Primer,Dior,$42.00
4.6179,MicroSmooth Baked Sculpting Contour Trio,SEPHORA COLLECTION,$21.00
4.396,Sun Beam,Benefit Cosmetics,$26.00
4.338,Shimmer Brick - Pink Quartz,Bobbi Brown,$42.00
4.2967,Diamond Powder,MAKE UP FOR EVER,$25.00
4.6341,Hervana,Benefit Cosmetics,$28.00
4.4051,Precious Light Rejuvenating Illuminator,Guerlain,$51.00
4.2081,Amazonian Clay BB Illuminating Moisturizer,Tarte,$32.00
4.2609,Shimmer Brick - Nectar,Bobbi Brown,$42.00
3.7931,Secret Brightener,Laura Mercier,$30.00
3.766,Halo Highlighting Wand,Smashbox,$32.00
